time_hr,heating_kw_base,heating_kw_upg,heating_kw_scaled
2018-01-07,0,3.26971,0
2018-01-07 01:00:00,0,3.34309,0
2018-01-07 02:00:00,0,3.46616,0
2018-01-07 03:00:00,0,3.52705,0
2018-01-07 04:00:00,0,3.62051,0
2018-01-07 05:00:00,0,3.78399,0
2018-01-07 06:00:00,0,3.83559,0
2018-01-07 07:00:00,0,3.8647400000000003,0
2018-01-07 08:00:00,0,3.64824,0
2018-01-07 09:00:00,0,3.3694100000000002,0
2018-01-07 10:00:00,0,3.07094,0
2018-01-07 11:00:00,0,2.79348,0
2018-01-07 12:00:00,0,2.63437,0
2018-01-07 13:00:00,0,2.41703,0
2018-01-07 14:00:00,0,2.2797300000000003,0
2018-01-07 15:00:00,0,2.1753,0
2018-01-07 16:00:00,0,2.2322100000000002,0
2018-01-07 17:00:00,0,2.37849,0
2018-01-07 18:00:00,0,2.5189599999999897,0
2018-01-07 19:00:00,0,2.63364,0
2018-01-07 20:00:00,0,2.6343199999999998,0
2018-01-07 21:00:00,0,2.6853,0
2018-01-07 22:00:00,0,2.70865,0
2018-01-07 23:00:00,0,2.81019,0
