time_hr,cooling_kw_base,cooling_kw_upg,cooling_kw_scaled
2018-07-02,1.22624,1.0188899999999999,1.24589342147129
2018-07-02 01:00:00,1.1431499999999999,0.94649,1.1558808187085399
2018-07-02 02:00:00,1.0745200000000001,0.8966,1.08550462446923
2018-07-02 03:00:00,0.97698,0.81064,0.9835809755290356
2018-07-02 04:00:00,0.8780800000000001,0.7262,0.8863440525289321
2018-07-02 05:00:00,0.83158,0.67472,0.8374600099970031
2018-07-02 06:00:00,0.8383499999999999,0.6843,0.8527741303647681
2018-07-02 07:00:00,0.9829699999999999,0.77224,0.9982782775332097
2018-07-02 08:00:00,1.2167199999999998,0.93028,1.24710477740832
2018-07-02 09:00:00,1.52008,1.12199,1.5764423611043001
2018-07-02 10:00:00,1.8408,1.32309,1.9331040817070702
2018-07-02 11:00:00,2.04367,1.46814,2.17437253821892
2018-07-02 12:00:00,2.22648,1.6134899999999999,2.41027768362575
2018-07-02 13:00:00,2.36508,1.73953,2.6003440313208204
2018-07-02 14:00:00,2.45979,1.8574600000000001,2.76610889360631
2018-07-02 15:00:00,2.50314,1.96532,2.88542318369134
2018-07-02 16:00:00,2.50826,2.0243700000000002,2.93527395083248
2018-07-02 17:00:00,2.48584,2.0529699999999997,2.93250100044814
2018-07-02 18:00:00,2.4329,2.0461199999999997,2.86447595720825
2018-07-02 19:00:00,2.29387,1.93397,2.63590349440988
2018-07-02 20:00:00,2.05348,1.71288,2.25066909878532
2018-07-02 21:00:00,1.84016,1.52799,1.9495555898958
2018-07-02 22:00:00,1.64843,1.35835,1.70195005579539
2018-07-02 23:00:00,1.48828,1.2050699999999999,1.5041437713252501
